threshold,precision,recall,f1,accuracy
0.0,0.69,1.0,0.82,0.69
0.05,0.69,1.0,0.82,0.69
0.1,0.69,1.0,0.82,0.69
0.15,0.69,1.0,0.82,0.69
0.2,0.69,1.0,0.82,0.69
0.25,0.69,1.0,0.82,0.69
0.3,0.69,1.0,0.82,0.69
0.35,0.69,1.0,0.82,0.69
0.4,0.69,1.0,0.82,0.69
0.45,0.7,0.98,0.81,0.69
0.5,0.71,0.94,0.81,0.7
0.55,0.73,0.92,0.81,0.71
0.6,0.73,0.85,0.78,0.67
0.65,0.72,0.8,0.76,0.65
0.7,0.73,0.71,0.72,0.62
0.75,0.77,0.54,0.63,0.57
0.8,0.77,0.48,0.59,0.54
0.85,0.77,0.32,0.45,0.46
0.9,0.78,0.16,0.27,0.39
0.95,0.75,0.11,0.19,0.36
1.0,0.75,0.11,0.19,0.36
