threshold,precision,recall,f1,accuracy
0.0,0.69,1.0,0.82,0.69
0.05,0.69,1.0,0.82,0.69
0.1,0.71,1.0,0.83,0.72
0.15,0.76,1.0,0.86,0.78
0.2,0.77,1.0,0.87,0.8
0.25,0.79,1.0,0.89,0.82
0.3,0.81,1.0,0.89,0.84
0.35,0.82,0.99,0.89,0.84
0.4,0.82,0.99,0.89,0.84
0.45,0.82,0.99,0.89,0.84
0.5,0.82,0.99,0.89,0.84
0.55,0.82,0.96,0.89,0.83
0.6,0.82,0.92,0.87,0.8
0.65,0.82,0.88,0.85,0.78
0.7,0.86,0.82,0.84,0.79
0.75,0.88,0.72,0.79,0.74
0.8,0.89,0.49,0.64,0.61
0.85,0.87,0.24,0.37,0.45
0.9,1.0,0.07,0.13,0.36
0.95,0.0,0.0,0.0,0.31
1.0,0.0,0.0,0.0,0.31
